"RANK","NAME","TEAM","CUR","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Lonzo Ball","Cle","*","G","28.4","35","20.8","13.7","22.8","21","0.667","29","0.448","147","0.272","0.415","0.432","4.6","4","3.9","1.3","0.3","1.5","8.6","8.5","12.5","8","100.3","109.4"
"","Jarred Vanderbilt","Lal","*","F","26.9","54","17.9","12.4","19.2","47","0.638","120","0.575","86","0.302","0.524","0.543","4.6","4.6","1.2","0.9","0.3","0.9","9.2","5.8","10.4","6.6","112.7","106.8"
"","Chaney Johnson","Bro","*","G-F","23.7","2","13.6","9.6","16.7","0","0","4","0.75","1","1","0.9","0.9","4.5","1","0.5","0.5","0.5","0.5","5.5","5","6","3.9","137.3","108.1"
"","Pete Nance","Mil","*","F","26.1","32","11.3","14.7","13.3","0","0","41","0.707","63","0.46","0.697","0.697","4.5","2","0.6","0.3","0.2","0.5","6.6","5.1","7.2","6.2","123.6","114"
"","Matisse Thybulle","Por","*","G-F","29","14","11.8","14.1","16.8","10","1","16","0.438","28","0.464","0.602","0.651","4.5","1.6","0.8","1.9","0.5","0.6","6.1","5.3","6.9","6.1","123.6","102.1"
"","Tyler Kolek","Nyk","*","G","25","54","12.2","18.6","18.8","18","0.667","125","0.48","103","0.359","0.507","0.515","4.5","1.7","2.8","0.4","0.1","1","6.2","7.3","9","9.1","110.4","107.5"
"","Jeremiah Robinson-Earl","Dal","*","F","25.3","5","12.2","14.3","10.3","4","1","9","0.667","8","0.25","0.529","0.586","4.4","3","0.6","0.4","0","0.4","7.4","5","8","6.5","121.5","112.2"
"","Kam Jones","Ind","*","G","24","26","15.8","13.6","15.6","8","0.5","60","0.55","48","0.313","0.514","0.516","4.4","1.5","2.6","0.5","0","0.8","5.9","7","8.5","6.5","109","117.4"
"","Elijah Harkless","Uta","*","G","26.1","16","14.7","14.6","14.2","29","0.793","29","0.448","31","0.226","0.392","0.481","4.4","1.4","2.1","0.9","0.1","0.6","5.8","6.5","7.9","6.4","108.9","112.2"
"","DaRon Holmes II","Den","*","F","23.6","19","10.2","15.4","12.4","11","0.818","15","0.667","41","0.439","0.661","0.682","4.4","1.5","0.8","0","0.2","0.4","5.9","5.2","6.7","6.8","129.3","113.5"
"","Craig Porter","Cle","*","G","26","57","17.7","12.5","18.9","36","0.556","150","0.487","82","0.354","0.502","0.51","4.4","3.3","3.3","0.9","0.6","0.9","7.8","7.7","11","8.2","119.6","111.2"
"","Grant Nelson","Bro","*","F","24","4","8.8","21.6","30.1","10","0.7","9","0.556","0","0","0.556","0.634","4.3","1.5","1.3","0.3","1.3","1","5.8","5.5","7","9.2","111.4","103.6"
"","Skal Labissiere","Was","*","F-C","30","3","12.5","12.2","9.1","0","0","5","1","5","0.2","0.65","0.65","4.3","3","1","0.7","0.3","0.3","7.3","5.3","8.3","7.5","135.4","116.1"
"","Terrence Shannon Jr.","Min","*","G-F","25.6","28","11.8","16.2","15.1","33","0.818","52","0.404","43","0.395","0.489","0.548","4.3","1","0.6","0.3","0","0.6","5.3","4.9","5.9","4.6","105.5","108.9"
"","Dereck Lively II","Dal","*","C","22.1","7","16.5","11.8","35.3","10","0.8","18","0.611","0","0","0.611","0.67","4.3","5.3","1.9","0.6","1.6","1.4","9.6","6.1","11.4","8.5","121.6","97.4"
"","Yanic Konan Niederhauser","Lac","*","C","23","41","10.3","15.7","18.6","62","0.758","95","0.663","5","0.2","0.645","0.691","4.3","2.9","0.3","0.1","0.7","0.6","7.1","4.6","7.4","6","130.6","101.8"
"","Jabari Walker","Phi","*","F","23.6","55","12.4","14.8","10.8","59","0.746","103","0.524","87","0.322","0.505","0.546","4.3","3.2","0.5","0.4","0.2","0.4","7.5","4.8","8","6.1","119.1","104.8"
"","Ochai Agbaji","Tor","","G","25.9","42","15.5","13.3","10","29","0.862","105","0.571","65","0.185","0.459","0.495","4.3","2.3","0.7","0.4","0.3","0.5","6.6","5","7.3","4.9","106.6","106.2"
"","Oscar Tshiebwe","Uta","*","F-C","26.3","10","11.8","11.5","6.4","4","0.5","29","0.69","0","0","0.69","0.683","4.2","4.4","0.8","0.2","0.1","0.2","8.6","5","9.4","8.3","152.1","109.3"
"","DeAndre Jordan","Nor","*","C","37.6","9","16.6","9.7","30.7","13","0.615","20","0.75","0","0","0.75","0.739","4.2","6.7","0.7","0.3","0.9","1","10.9","4.9","11.6","6.5","130.1","110.4"
"","Trayce Jackson-Davis","Gol","","F","26","36","11.4","14.7","15","52","0.558","101","0.584","1","1","0.593","0.601","4.2","3.1","0.9","0.4","0.5","0.5","7.3","5.1","8.2","8","126.8","107.6"
"","Dalton Knecht","Lal","*","F","24.9","48","10.6","17.4","10.3","20","0.7","73","0.644","101","0.307","0.537","0.55","4.2","1.4","0.3","0.2","0.2","0.4","5.6","4.5","5.9","4.6","105.3","112.7"
"","Mike Conley","Min","*","G","38.4","46","18.1","11.4","13.6","46","0.891","43","0.326","134","0.313","0.435","0.494","4.2","1.7","2.8","0.6","0.3","0.6","6","7.1","8.8","6","117.5","111.2"
"","Jeremy Sochan","San","","F","22.8","28","12.8","14.7","15.2","16","0.688","65","0.6","35","0.257","0.525","0.542","4.1","2.6","1","0.4","0.2","0.6","6.8","5.1","7.7","6.9","112.1","100.6"
"","Micah Peavy","Nor","*","G-F","24.7","50","14.1","14.6","5.8","17","0.765","135","0.474","90","0.233","0.424","0.439","4.1","1.9","0.9","0.6","0.1","0.3","5.9","5","6.9","5.4","103.9","113.2"
"","Ron Harper Jr.","Bos","*","G-F","25.9","19","11.9","14.6","5.3","2","0.5","13","0.615","58","0.345","0.535","0.536","4.1","1.8","0.7","0.2","0.4","0.2","5.8","4.8","6.6","5.8","123.2","112.6"
"","Liam McNeeley","Cha","*","F","20.4","28","12.2","14","12","31","0.806","30","0.4","58","0.379","0.511","0.566","4.1","2.1","0.8","0.2","0.1","0.4","6.3","4.9","7.1","6.2","119.9","107.8"
"","Hugo Gonzalez","Bos","*","G","20.1","60","15.4","12.1","13.3","24","0.458","113","0.593","101","0.337","0.551","0.55","4.1","3.5","0.6","0.6","0.3","0.6","7.7","4.7","8.3","5.3","113.4","102.6"
"","Nicolas Batum","Lac","*","G-F","37.2","61","18.5","9.6","14.6","11","0.818","9","0.444","196","0.393","0.583","0.591","4.1","2.5","0.9","0.7","0.3","0.6","6.6","5","7.5","4.5","112.5","111.8"
"","Gabe Vincent","Atl","*","G","29.7","8","12.4","15.3","8.2","1","1","6","0.833","27","0.259","0.47","0.478","4","0.9","1.9","0.5","0.1","0.4","4.9","5.9","6.8","6.1","111.8","109.5"
"","Mac McClung","Chi","*","G","27.2","1","13.5","24.9","12.5","0","0","5","0.4","2","0","0.286","0.286","4","1","1","0","1","1","5","5","6","4.7","59","108.8"
"","Brandon Clarke","Mem","*","F","29.5","2","10.2","21.9","0","4","0.5","9","0.333","0","0","0.333","0.372","4","3","0.5","1","0","0","7","4.5","7.5","7.1","105.3","91.8"
"","Tony Bradley","Ind","*","C-F","28.2","38","11","14.4","13.8","43","0.744","104","0.558","2","0.5","0.561","0.604","4","2.8","0.5","0.2","0.2","0.4","6.8","4.5","7.3","6.5","128.5","108"
