Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,TEAM
8.0,Derrick Jones Jr.,28.0,SF,50.0,45.0,27.0,3.8,7.6,0.499,1.1,3.1,0.359,2.7,4.5,0.593,0.571,1.4,1.9,0.763,1.2,2.2,3.5,1.4,0.9,1.0,0.8,2.1,10.1,,LAC
9.0,Jordan Miller,26.0,SF,60.0,1.0,22.1,3.5,6.7,0.531,0.6,1.8,0.345,2.9,4.8,0.602,0.579,2.3,2.9,0.777,0.8,2.2,3.0,2.3,0.8,0.2,1.1,1.0,10.0,,LAC
10.0,Brook Lopez,37.0,C,75.0,40.0,21.8,3.1,7.2,0.428,1.5,4.2,0.36,1.6,3.0,0.524,0.533,0.7,1.0,0.757,0.6,3.0,3.6,1.3,0.6,1.2,0.8,2.1,8.5,,LAC
11.0,Bradley Beal,32.0,SG,6.0,6.0,20.2,3.0,8.0,0.375,1.2,3.2,0.368,1.8,4.8,0.379,0.448,1.0,1.3,0.75,0.3,0.5,0.8,1.7,0.5,0.0,1.5,2.3,8.2,,LAC
12.0,Kobe Sanders,23.0,SG,68.0,16.0,19.9,2.6,5.6,0.466,1.2,2.9,0.408,1.5,2.8,0.527,0.57,0.8,1.0,0.826,0.4,1.8,2.3,1.6,0.7,0.1,1.2,2.1,7.3,,LAC
13.0,Bogdan Bogdanović,33.0,SG,23.0,3.0,19.7,2.6,6.6,0.388,1.4,4.1,0.347,1.1,2.5,0.456,0.497,0.9,1.1,0.8,0.3,2.3,2.6,2.2,0.4,0.1,1.2,2.0,7.4,,LAC
14.0,Nicolas Batum,37.0,PF,74.0,6.0,17.5,1.3,3.2,0.403,1.2,3.1,0.404,0.1,0.1,0.4,0.597,0.1,0.1,0.818,0.3,2.2,2.5,0.9,0.6,0.3,0.5,1.4,4.0,,LAC
15.0,Isaiah Jackson,24.0,C,17.0,0.0,15.9,3.2,4.2,0.764,0.0,0.1,0.0,3.2,4.1,0.786,0.764,1.0,1.8,0.548,1.6,3.1,4.6,1.2,0.6,1.2,0.9,2.3,7.5,,LAC
16.0,Chris Paul,40.0,PG,16.0,0.0,14.3,1.1,3.5,0.321,0.6,1.9,0.333,0.5,1.6,0.308,0.411,0.1,0.1,0.5,0.4,1.4,1.8,3.3,0.7,0.0,1.0,1.4,2.9,,LAC
17.0,Yanic Konan Niederhäuser,22.0,C,41.0,0.0,10.3,1.6,2.4,0.64,0.0,0.1,0.2,1.5,2.3,0.663,0.645,1.1,1.5,0.758,0.9,2.0,2.9,0.3,0.1,0.7,0.6,1.6,4.3,,LAC
,Amir Coffey,,,,,10.7,,,0.487,,,0.347,,,,,,,,,,1.2,0.6,,,,,3.2,,PHX
,CJ Huntley,,,,,10.1,,,0.545,,,0.0,,,,,,,,,,1.3,0.5,,,,,3.0,,PHX
,Collin Gillespie,,,,,28.5,,,0.418,,,0.401,,,,,,,,,,4.1,4.6,,,,,12.7,,PHX
,Devin Booker,,,,,33.5,,,0.456,,,0.33,,,,,,,,,,3.9,6.0,,,,,26.1,,PHX
,Dillon Brooks,,,,,30.4,,,0.435,,,0.344,,,,,,,,,,3.6,1.8,,,,,20.2,,PHX
,Grayson Allen,,,,,28.8,,,0.403,,,0.349,,,,,,,,,,3.0,3.8,,,,,16.5,,PHX
,Haywood Highsmith,,,,,13.0,,,0.522,,,0.571,,,,,,,,,,1.9,1.0,,,,,5.4,,PHX
,Jalen Green,,,,,25.9,,,0.422,,,0.313,,,,,,,,,,3.6,2.8,,,,,17.8,,PHX
,Jamaree Bouyea,,,,,14.0,,,0.458,,,0.295,,,,,,,,,,1.8,1.8,,,,,5.7,,PHX
,Jordan Goodwin,,,,,22.5,,,0.413,,,0.371,,,,,,,,,,4.9,2.2,,,,,8.7,,PHX
,Mark Williams,,,,,23.6,,,0.644,,,1.0,,,,,,,,,,8.0,1.0,,,,,11.7,,PHX
,Oso Ighodaro,,,,,22.1,,,0.653,,,0.0,,,,,,,,,,5.1,2.3,,,,,6.5,,PHX
,Rasheer Fleming,,,,,12.2,,,0.405,,,0.346,,,,,,,,,,2.3,0.3,,,,,4.3,,PHX
,Royce O'Neale,,,,,28.4,,,0.421,,,0.408,,,,,,,,,,4.8,2.7,,,,,9.8,,PHX
,Ryan Dunn,,,,,19.4,,,0.453,,,0.331,,,,,,,,,,4.2,1.5,,,,,5.8,,PHX
