Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,TEAM_ABBR,DATA_SOURCE,PLAYER_ID,NICKNAME,TEAM_ID,AGE,GP,W,L,W_PCT,FGM,FG3M,FG3A,FTM,OREB,DREB,REB,BLKA,PFD,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,OPP
,Rasheer Fleming,,,,,12.2,,3.9,0.405,,,0.346,,,,,,0.6,0.559,,,,0.3,0.4,0.4,0.5,1.2,4.3,,PHX,nba_api,1642853.0,Rasheer,1610612756.0,21.0,55.0,29.0,26.0,0.527,1.6,0.8,2.4,0.3,1.0,1.2,2.3,0.1,0.5,1.8,9.3,0.0,0.0,9.3,258.0,203.0,232.0,282.0,438.0,430.0,410.0,464.0,308.0,315.0,270.0,486.0,453.0,517.0,188.0,451.0,399.0,555.0,434.0,432.0,222.0,472.0,431.0,479.0,433.0,136.0,458.0,284.0,38.0,448.0,1.0,OKC
,Royce O'Neale,,,,,28.4,,8.0,0.421,,,0.408,,,,,,0.5,0.711,,,,2.7,1.1,0.4,1.3,2.3,9.8,,PHX,nba_api,1626220.0,Royce,1610612756.0,32.0,78.0,43.0,35.0,0.551,3.4,2.7,6.7,0.3,0.8,4.0,4.8,0.1,0.7,-1.4,22.7,2.0,0.0,22.9,28.0,75.0,112.0,245.0,122.0,235.0,205.0,416.0,29.0,44.0,80.0,485.0,488.0,409.0,282.0,106.0,154.0,162.0,192.0,101.0,199.0,508.0,130.0,426.0,220.0,365.0,185.0,159.0,38.0,168.0,1.0,OKC
,Ryan Dunn,,,,,19.4,,5.2,0.453,,,0.331,,,,,,0.7,0.489,,,,1.5,0.9,0.4,0.8,1.9,5.8,,PHX,nba_api,1642346.0,Ryan,1610612756.0,23.0,70.0,40.0,30.0,0.571,2.3,0.8,2.4,0.3,1.4,2.8,4.2,0.3,0.5,0.1,16.1,2.0,0.0,14.9,105.0,110.0,172.0,210.0,308.0,348.0,341.0,303.0,311.0,311.0,330.0,497.0,438.0,547.0,117.0,225.0,181.0,319.0,338.0,187.0,196.0,306.0,243.0,480.0,365.0,248.0,319.0,159.0,38.0,333.0,1.0,OKC
1.0,Cade Cunningham,24.0,PG,64.0,64.0,33.9,8.6,18.6,0.461,2.0,5.7,0.342,6.6,12.9,0.514,0.513,4.8,6.0,0.812,0.9,4.7,5.5,9.9,1.4,0.8,3.7,3.1,23.9,AS,DET,B-Ref,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORL
2.0,Jalen Duren,22.0,C,70.0,70.0,28.2,7.5,11.5,0.65,0.0,0.0,,7.5,11.5,0.65,0.65,4.6,6.1,0.747,3.8,6.7,10.5,2.0,0.8,0.8,1.9,2.8,19.5,AS,DET,B-Ref,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORL
3.0,Tobias Harris,33.0,PF,63.0,63.0,27.7,4.9,10.5,0.469,1.3,3.5,0.368,3.6,6.9,0.521,0.531,2.2,2.5,0.866,0.9,4.3,5.1,2.5,0.9,0.4,1.0,1.7,13.3,,DET,B-Ref,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORL
4.0,Duncan Robinson,31.0,SF,77.0,77.0,27.4,4.1,9.1,0.456,2.9,7.0,0.41,1.3,2.1,0.605,0.613,1.1,1.4,0.755,0.4,2.3,2.7,2.1,0.6,0.3,0.7,2.2,12.2,,DET,B-Ref,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORL
5.0,Ausar Thompson,23.0,SF,73.0,72.0,26.0,4.2,7.9,0.525,0.1,0.3,0.25,4.1,7.6,0.537,0.53,1.5,2.6,0.571,2.1,3.7,5.7,3.1,2.0,0.9,1.5,2.7,9.9,,DET,B-Ref,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORL
6.0,Isaiah Stewart,24.0,C,58.0,13.0,22.7,3.8,6.9,0.55,0.7,2.1,0.333,3.1,4.9,0.642,0.6,1.7,2.3,0.756,1.7,3.3,5.0,1.1,0.3,1.6,1.2,2.9,10.0,,DET,B-Ref,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORL
7.0,Kevin Huerter,27.0,SG,25.0,3.0,20.5,3.4,7.7,0.443,1.2,4.1,0.294,2.2,3.6,0.611,0.521,0.6,0.6,0.933,0.4,2.4,2.8,2.5,1.1,0.3,0.9,1.2,8.6,,DET,B-Ref,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORL
